video_id,transcript,doc_length,lexical_diversity
AAHiZ-c88ec,man getting frustrated water heater delivery scheduled today oclock didnt happen even called friday confirm delivery going oclock got four guy standing around sent guy way corona go pick water heater get around he still waiting he waiting someone get ticket released get water heater hour half drive finally water heater cart made amazing really work well taking water heater bringing oh look huge drain water heater like pro alright first thing gonna need good water hose make sure there washer dont want water garage pair channel lock screwdriver next thing look people people dont recirculating pump definitely want disconnect electrical well shut gas put pilot next step want make sure fixture inside home dont want airlock coming yet want go ahead get water hose put hose bib bottom water heater one thing note guy lot water heater plastic hose bib lucky case already set perfect application drain water heater plastic hose bib gonna wanna take immediately try insert three quarter valve nipple like water hose connect quarter inch nipple make sure snug next step lot plumber miss homeowner miss gonna get lot calcification building want go valve side water heater want go ahead turn blast compaction good second way make disconnection water heater gonna able get water much faster reconnect let show look like okay right shutoff valve shuts water house open position going hear water blasting water hose let go take look end water hose see get thats good flow right like adding sock like lot hard water sediment able really gauge see often gonna flush water heater there lot gonna want least year dont lot recommending every two four year right weve done little burst power flush calcification possibly might clogging hose bib go ahead shut water water heater want able get air behind water way start come way first open line right lift like guy really important make sure nobody us water inside right shutting hot water cold still house someone inside using cold water going cross going end getting back feed causing major issue possible leak make sure nobody us water right weve kind drained water heater point ready disconnect supply line right gonna use pair channel lock trying get lot air behind gallon water like okay want let go back front let see much water actually flowing water hose right good determination getting plenty flow let go check alright guy much flow dave cold water still flowing pretty good water heater actually quite clean there lot sediment thats good indication bradford white good heater customer hard water dont really need sock point alright let go check back dave alright guy weve got cold water disconnected draining heater gonna disconnect gas gonna start cutting copper pipe got lot plumbing late afternoon big delay ferguson kind pressed time gonna back work gonna go ahead cap jim longer need gonna go ahead put cap right hey dont try home gonna cap live gas line typically want shut gas meter dont time go inside relight pilot right got right waiting earthquake strap wanted take moment reach try order gallon hybrid got lot great review like previous video get customer service local rep responding soon called local bradford white rep area responsive ended going bradford yet take three guy put earthquake strap filling entire tank valve leaving open right hear air allows tank fill much quicker soon water know least level wont take much time go top tape yeah well shut valve well continue inside house plus get air system right okay gonna go ahead want tape wire nut heat pump inside unit may cause vibration without could wire nut come disconnected inside junction box right guy ready kick breaker get power brand new hybrid go let go check right love hybrid super efficient cost saving really getting heat pump thats pulling ambient air come draw heat heat turn cool air actually feel cool air blowing thats transferring hot air coming blowing cold air hot air exchanged coil water heater maxed recovery rate thats electricity kick start heat like normal electric water heater bye gas water heater think gonna super happy new hybrid sure good job today yeah absolutely made see long frustrating day end came water heater fired theyre ton hot water learned lot love hybrid water heater yeah pretty awesome know josh really educated u well team member like luis come board really get hand dirty really understand thing go install electrical pretty awesome yeah well folk please give u comment love feedback appreciate much support getting channel make sure hit subscribe button well see next one,760,0.4355263157894737
AEsRr-ZnzNc,start give harry stack go war yes movie rock movie oscar award character awesome theme good graphic amazing like movie friend like movie hate movie mean rated avatar way way rock super mario brother movie cool gonna salute one next going salute official channel official channel yes user user make awesome video motor commercial family revenge paul commercial parent dr sonic mellow motor commercial short thanks user m dont know hate user going leave anyways official channel rocker rd june suck end salute last salute basic enjoy amazing fail slide ruler playtime play balli take chance principal see classroom rule first prize help go sweep help sweep part factor make school loud boxer fly file name one bos like game michael rat offline guy made salute bolt dont know hate game basic rock june suck end salute mean end triple salute station,142,0.676056338028169
AQbNb-vtBn8,go triton hi dale go starting next saturday sizing week lot tabling greek life student even sorry lecture hall lecture hall tend around student graduating class enter la playhouse great option seven seven tarp target right left college going preparing passport dont go fast dont gotta try thank id rather walk need exercise okay doesnt look powerful acre oh oh shit thought oh god bad,65,0.8615384615384616
ASbUG-sjYzk,time shine thats kind state mind gotta combine hard working time gotta climb top dont let drop heart stop let beat rock got new clock new start new rock let mind lose new stock drunk goose head thinking plucked getting caught thought cause lost walk speaker cant even handle give got one portraying energy never stop motivated enemy setting shop everybody remember though going life regretfully id rather work nonstop call incessantly want job midnight pleasantly already god bless get body fantasy getting hand forgotten soul stop dropping road controlled basketball got squat falling top soul stock box gold hey knock knock shit shit toxic flow aint stopping though hiphop double kill rampage killing spree killing spree,117,0.811965811965812
AXkEd-CIG_g,good evening everyone mavis faulkner instructor evening session evening include providing overview diabetes bringing date regard current statistic able end session differentiate different type diabetes also identify difference term pathology diabetes additionally know able analyze patient type opposed type prevalent type diabetes able classify diagnostic criterion required diagnosis diabetes addition also aware end session modality essential term treatment diabetes let u move diabetes group disease characterized hyperglycemia caused defect insulin secretion insulin action diabetes affect nearly million american united state one third case also undiagnosed prevalence diabetes increasing relationship several factor often environmental food intake sedentary lifestyle diabetes affect minority population older adult also disproportionately affected native american african american hispanic latino population classification diabetes usually one developed age age birth age previously individual developed diabetes usually classified type type diabetes risk factor contributor towards development type includes environmental malnutrition disease condition lead malnutrition environmental autoimmune cause also linked type type previously referred adult onset diabetes occurs older adult population usually obese usually chronic disease condition also play important role mother diabetes high risk diabetes latent autoimmune diabetes adult mix type type latent usually person develop non diabetes need use insulin referred type diabetes associated condition celiac disease cystic fibrosis well patient medication placed also cause blood glucose alteration move function insulin insulin secreted pancreas pancreas gland superimposed stomach insulin secreted entry glucose cell insulin stimulates storage glucose liver muscle glycogen extra energy consumed cannot used body insulin promotes storage liver glycogen signal liver stop release glucose enhances storage dietary fat well adipose tissue also promotes entry amino acid cell inhibits breakdown glucose protein fat hence bear mind diabetes disease distortion overall metabolic process body therefore diabetes also affect almost every body part head toe already mentioned type diabetes type diabetes related total lack insulin beta cell pancreas usually destroyed could viral infection environmental genetic factor contribute type result result decreased insulin first part person develop type initially couple month may go honeymoon period minimal amount insulin secretion start able feel somewhat better may tell oh dont type anymore change body taking place uncheck glucose production liver fasting hyperglycemia occur affect adult diabetes type diabetes referred disorder decreased amount insulin secretion residual function pancreas pancreas secrete insulin hence treatment regimen type diabetes different type insulin provided type insulin remaining functioning beta cell oral hypoglycemia medication type oral medication used treatment type diabetes type diabetes affect adult diabetes think million individual united state diabetes individual living type onset year old increasing child relationship obesity slow progressive glucose intolerance diabetes key word need keep mind insulin resistance impaired insulin secretion pancreas lead hyperglycemia diminished gastrointestinal absorption glucose result glucose bloodstream get high level hyperglycemia liver increased basal hepatic glucose production decreased stimulated insulin uptake latent autoimmune disease adult later subtype diabetes progression autoimmune beta cell destruction gradual usually mix type type therefore latent autoimmune diabetes adult clinical manifestation type type let recap type slender usually person younger age related environmental autoimmune condition type individual obese older term age multiple chronic disease condition great link hear term family history emerging subtype led individual requiring different type diabetes seen change area let look two main group diabetes type diabetes previously called juvenile diabetes literature longer juvenile type type related obesity age previously identified impaired fasting glucose diabetic patient category individual hypertension risk diabetes diabetes risk hypertension high density lipoprotein giving birth infant nine pound greater risk factor type diabetes risk factor type early onset familial genetic predisposition possibly immunologic environmental viral toxin risk factor point prepared two case study going form two group one case study type type going work group use nursing process answer question related diabetes reform class end class end adequate time continue case study beginning next class give minute fact minute let quickly highlight clinical manifestation may essential identify patient symptom related diabetes clinical symptom depends level hyperglycemia patient may blood glucose level unreadable equipment use evaluate three p polyuria frequent urination polydipsia increased intake fluid polyphagia increased intake food result inadequate absorption use glucose lack insulin inadequate secretion insulin pancreas patient may fatigue weakness vision change tingling numbness foot skin lesion wound slow heal recurring infection cardinal sign type weight loss diabetes fasting blood glucose milligram per deciliter hemoglobin ac greater well causal random glucose level accompanying cardinal sign diabetes polydipsia polyphagia polyuria end point tonight quick recap diabetes serious complex chronic disease condition multiple category diabetes major category type type go forward nursing career disease condition requires constant update term information care patient continue lifelong learner term readiness care patient diabetes,753,0.4887118193891102
AdQpt-o5a6c,sitting gary taylor home loan modification specialist thats correct help solve problem afraid answer phone right gary thats exactly right paul matter fact people come said know cant answer phone anymore cant cant stand pain longer dont even open mail okay keep saying urgent must reply theyre theyre piling piling theyre afraid face issue hand know tell thats worst thing could paul cal help solve problem f sleep better night going helping thousand thou similar situation cant wait cant hesitate need today know little strong paul tell see someone call u finally say okay ready work weve got notice dont understand called unlawful detainer heart sink hear mean already lost house ordered move funny say got couple comment viewer here one right humiliated sick tired bounce check credit card decline receiving threatening letter call email creditor lower payment substantially would relieve pressure payment basically help balance budget could live comfortably without fear answering phone looking mail every single day get caller gone theyre wit end mean people cry phone okay help u need basically real simple going guide need process difficult work basically get information put together determine exactly could afford based upon complete budget send lender get approved modification come back notify homeowner accepted modification program payment substantially lower actually afford eat say peanut butter last two week month here another question one two even three mortgage piece property help know environment thats typical whats happened keep taking money form loan pay old loan well end equity available cant longer problem loan problem complete budget going go said going go going tailor program could financially afford get away fear apprehension actually sleep night homeowner thing call exactly right need right away cookie cutter type program one size fit paul everybody individual everybody individual financial difficulty cant stress enough going take individual income expense determine exactly theyre going able afford well kind tailor program designed going go ahead put together going submit lender workout agreement homeowner avoiding lender accepting call allowing payment go past one month two month seen lot one marshal actually coming pick clothes furniture putting street serious folk cannot wait want call u could advise keep home difficult work need help giving u right information guide process keep home worth tried refinance cant need call chance qualify loan modification loan modification allows lock lower payment fixed term current loan without complete refinance basically renegotiate better rate fixed period current lender saving thousand fee finance charge alone catch payment wipe debt stay home loan modification credit factor desire remain home negotiation skill free confidential call call,428,0.5911214953271028
AgMIS-4d8ZQ,alright back oh savannah walking dead keep difficulty leader get healing thingy get want yeah would really good want want get gotta shoot zombie gonna die pick weapon keep pistol like shotgun use shoot run shot fire holy crap thats really cool happened killed hunter like jumped hell leaving guitar floor heck shooting find behind reloading dont know get axe keep whatever float boat see gun right pick keep shotgun oh jackie oh shotgun smoker jackie okay need clicked sound like something deflating got bomb really sound like something deflating way go think brandon help ugly ugly thing ever get take pill way way okay reloading oh god many people reloading got got dynamite oh god sure ready grenade yeah there bat hell let loose oh okay okay hear noise ah treasure found ah cute scott way think found way there hunter wait one someone help thats good coach got gun hurt hurt cry uh turn light someone cry joke got pill there career oh god there witch die leave alone help mount feck oh there guy there guy one oh god guy like touching got whats called dont bullet thing come look special weapon one one kind sniper guess get one yeah thats took oh get get onto truck get like away one public get track throw bomb threw guy got something got uh got puked think thats picked oh god idea oh throw threw theyre gonna gather theyre gathering brendan whats oh wait make get got feeling there gonna something oh yeah gonna die alrighty got shotgun load shotgun pus stole oh hell yeah taking auto shotgun okay healing heal thats get oh better nothing see health get nothing see site oh laser oh shot laser site talk owner pistol forgot cola here proposition go find cola yonder food store ill clear path mall let get straight ya he good everyone store want ill get got there beard got forgot cola got cover wait dropped yeah guy fight ill carry cola need go deliver cola grabbed watch like watch alright gonna wait get alright okay alright let go coach wont move going let go brendan got cola gonna go around oh god tractor leave alone want coca cola screw gonna run running left want coca cola running better skirt sir wheres nick need heal wheres nick nick he way back nick still healing healed brendan gosh dang puker go mall kinda dont anymore wheres dont know see dont know see help thing ah coach really reason ai heal whats hitting oh there zombie gun gun gun gun let go oh safe house right run everyone get everyone get brenda get yeah oh killed one damage witch far behind witch hunter killed special infected nick yet loading nick kill melee weapon using melee weapon like first half,468,0.452991452991453
AmDou-_Ijmo,hi hi hello art part revolution haul today like video going try yeah let get okay gonna start eyebrow um going try soap styler doesnt feel like anything little bit yeah nothing doesnt feel like anything going use fixing spray activate going use little thingy come grab look like let see happens okay first impression like mean look difference bad bad gonna go benefit precisely brow pencil gonna little stroke bad far end brow dont lot uh say word hair fuck hair getting little bit cakey thats ideal far okay amazing far gonna one camera hello back tried side type hair gonna work mean like like dont know well see well see happens next going go primer going go really fast foundation today like base nobody care going talk actually going try revolution product bye end gonna try gonna see know book refreshing moist yeah like spray like hopefully taste helped like gonna try highlighter let see know happens know excited nice yes yes yes come thats little bit much thats okay love good five side side thats okay dont care think skin look great like love um whats next try next else buy dont even remember guess time eye excited dont even know gonna yet gonna scroll bit ill right back see ya eye eyelid primed gonna start party dirty like packing fluffy brush digging two leaf see happens know done side thats amazing like really like think look great moment there little bit darker shade uh green shade plant see right plant tiny bit first let see happens theyre blending together theyre good pick small packer brush gonna go natural one right lid go think thats obvious choice dry like look really nice thats really pretty gonna wet gonna wet sorry sorry mom dad sorry right yeah feel like activated humor love thats nice proud right try glitter show guy show product let see let see happens could go really wrong really bad like middle maybe like top look good gonna lower lash mean thats eyeshadow going mascara little bit nervous yoked like dont know like sure time truth nervous nervous going lie going lie nervous thats look like going thats bad thats bad expecting lot worse bad best mean good usually like dont know give volume make black thats want doesnt separate much doesnt lift much yeah looking volume like full coverage gonna use color sensational shape liner uh yeah dont know one either one cup girl one nyx okay one nyx oh oh yeah two thing ah move oh accept wait minute wait damn minute ugh wasp see work thats really pretty really like really okay thing love eyeshadow went really nice next time use eyeshadow going eye first face last got fallout glitter shimmer eyeshadow thats little bit green stain might fault love gloss love wow oh god love love like mascara bad situation love something going face look dry might might oily dry like much brow soap mean theyre laminated like little bit like thats mean get everything get gloss sure get glitter thing get like weed like green stuff get okay battery finally died going phone um there much say thanks watching bye wheres sponge,532,0.424812030075188
AqSnP-RLVSg,welcome transit pi motor brand new ford transit trend magnetic grey p option let take look around first thing notice new trend transit range got led daytime running light surround headlight really nice styling feature also trend doesnt body coloured bumper get new transit limited however magnetic one lends quite nicely nice look front bumper grey well back trend notice ford easy clean floor got led light option handy feature also got interior protection lot people get ply lining put ply lining place however high quality protection factory another good option van notable feature come inside driver cabin obviously inch sync touchscreen may familiar transit custom put new transit year difference control front rear parking sensor youve got dab radio bluetooth connectivity also work android auto apple anything youve got phone thing like google map apple map music everything well mirrored screen handy feature weve also got van cruise control controlled button steering wheel well volume control medium side flick trip computer various option menu screen front also control phone call voice control need take hand steering wheel transit range kind storage option cubby there also volt charger seemingly fan plugging phone there also storage underneath passenger seat well storage hatch bulkhead slightly longer article may carrying stylist brand new ford transit trend say one magnetic gray hundred thirty p l version van cracking looking van really really good van need information vehicle want arrange test drive get quote u please give u call,244,0.6352459016393442
AsLfk-FCJPU,keith joel comic smack weekly daily time anytime comic show give fix everything need know world comic book superheroes show taking closer look civil war kingpin issue number wilson fisk found inhuman secret weapon battle superhero profiling thats taking place civil war happen next let hop together find shall wilson fisk summoned best worst new criminal super villain underworld one roof show brand new toy janus inhuman power course create sort blind spot ulysses hero pretty much mean kingpin free whatever hell want including execute shield agent infiltrated rank execute shield agent course mean make weakling janus sign good faith loyalty made clear guy cut super criminal even good criminal general kingpin need everything power keep happy keep thumb want reclaim lost territory first thing start going really good money rolling everyone else getting line dont become kingpin new york without ruffling feather stepping foot crime master working fisk end dead front porch crime master suit doesnt matter crime master nobody care crime master running protection racket fist figure rival fist decides take janus along get little payback right get dark knight scene like hmm know killed man took operation prof must want want men operation want thing tell there three one manages kill two ill let join here gun oops wait gun didnt bullet testing failed ruckus eventually end alerting avenger mean fisk golden goose get soon possible stress causing weak little janus pas kingpin decides actually take young guy wing let live house recovery happens strangely kind sweet kind form weird surrogate relationship watch old james cagney movie together breakfast fisk part janus philosophy life saying ever saw crime mean end end making world new york city better place clearly comic taken little bit inspiration version kingpin weve seen recently kingpin beck call much bunch underling begin question actually running operation comic wind however fisk way important meeting entire apartment complex end blowing janice inside saying punisher responsible punisher responsible civil war kingpin number comic continues strike chord granted specific niche chord hey know there comic everybody one guess like story wilson forced kind fatherly role guy mean know he obviously exploiting dude kind turn around exploit back bit far though biggest thing holding comic back art mean look pretty book thats unfortunate overall though would feel comfortable giving one,382,0.6989528795811518
